Va,d0 +-0.6cm,d1,d2,r mean,r std,r^2,r^2error
140,8,7.1,7.3,3.7,0.2,14,2
150,8.25,7.7,8.1,4.0,0.1,16,1
160,8.5,7.9,8.2,4.1,0.2,17,1
170,9,8.6,8.4,4.3,0.2,19,1
180,9.25,8.6,8.7,4.4,0.2,20,2
190,9.75,8.8,9.2,4.6,0.2,21,2
200,9.8,9,9.3,4.7,0.2,22,2
210,9.8,9.1,9.4,4.7,0.2,22,2
220,9.9,9.3,9.5,4.8,0.2,23,1
230,10,9.7,9.9,4.9,0.08,24.3,0.8
240,10,9.9,10,5.0,0.03,24.8,0.3

140,10.3,10.7,10.9,5.3,0.2,28,2
150,10.7,11.2,11,5.5,0.1,30,1
160,11.2,11.7,11.5,5.7,0.1,33,1
170,11.8,12,11.8,5.9,0.06,35.2,0.7
180,12.3,12.3,12.4,6.2,0.03,38.0,0.4
190,12.6,12.7,12.8,6.4,0.05,40.3,0.6
200,13,13.1,13,6.5,0.03,42.5,0.4
210,13.7,13.7,13.2,6.8,0.1,46,2
220,14,14,13.9,7.0,0.03,48.8,0.4
230,14.3,14.3,14.1,7.1,0.06,50.6,0.8
240,14.5,14.5,14.4,7.2,0.03,52.3,0.4
